timestamp,x,y,z
15:56:37.663,215.3125,6.8750,-5.0625
15:56:37.795,215.3125,6.5625,-0.6875
15:56:37.926,216.7500,6.2500,4.0000
15:56:38.059,215.8750,7.0000,3.6875
15:56:38.190,214.8125,2.3125,8.6250
15:56:38.321,219.5000,1.5625,5.7500
15:56:38.451,208.5000,5.8125,0.6250
15:56:38.583,213.0000,3.1250,5.0000
15:56:38.715,215.6250,6.4375,11.1250
15:56:38.848,219.3750,9.6250,1.7500
15:56:38.979,220.8750,7.5625,2.7500
15:56:39.109,231.6875,5.2500,-2.0625
15:56:39.242,238.1250,6.6250,3.3125
15:56:39.373,240.5000,10.3125,8.3125
15:56:39.505,242.5625,20.0000,6.5625
15:56:39.636,242.7500,39.2500,13.1875
15:56:39.801,251.8750,76.9375,80.5000
15:56:39.932,236.9375,47.6250,22.8750
15:56:40.064,232.0000,3.7500,-4.6875
15:56:40.195,219.6250,3.3750,-1.1875
15:56:40.325,208.1875,6.2500,-0.8125
15:56:40.457,208.5000,3.4375,2.2500
15:56:40.588,204.8125,2.7500,13.2500
15:56:40.720,205.3750,0.6250,8.2500
15:56:40.851,203.9375,-13.7500,21.3750
15:56:40.982,208.0000,-8.3125,7.5000
